,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/activities/prefixes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/current-prefixes,v_/ports#link-tr-ssm-b-1-y/metrics/network-outgoing-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/as-path/total-entries,v_/ports#link-intgw-exgw-a-3-x/metrics/network-outgoing-bytes-rate,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/prefixes/total-entries,v_/devices#RR-01/power_state,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/diffserv-info/diffserv-target-classifier-stats/queuing-stats/drop-pkts,v_/ports#link-tr-intgw-a-3-x/metrics/network-incoming-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/explicit-withdraw,p_/computes0/metrics/compute-node/compute-node-cpu-idle-percent,v_/ports#TR-02/metrics/network-outgoing-packets,v_/ports#TR-01/metrics/network-outgoing-packets,v_/ports#link-intgw-exgw-b-1-x/metrics/network-outgoing-bytes-rate,v_/ports#link-tr-intgw-a-2-x/metrics/network-outgoing-bytes
0,1666686,7835,14312713906043,4670,1132674,7835,1,58371889,174994539,5,63,12342953,14851488,1125295,18519445946656
1,1666278,7835,14270573503270,4670,1119515,7835,1,56615711,174849301,6,63,12333112,14839724,1191162,18497068614599
2,1666490,7835,14302277914174,4670,1140237,7835,1,57905636,174968421,6,63,12340491,14848607,1157391,18513926727668
3,1666536,7835,14314003324866,4670,1121950,7835,1,58348589,175017750,6,63,12343205,14851864,1174423,18520199093112
4,1666473,7835,14308064679475,4670,1127103,7835,1,58085780,175000055,6,63,12341799,14850161,1184133,18517086984642
5,1666755,7835,14320998659990,4670,1133011,7835,1,58713274,175023630,5,63,12344886,14853812,1125284,18523840402422
6,1666319,7835,14276135349183,4670,1110938,7835,1,56834562,174869312,6,63,12334400,14841260,1205530,18500028252805
7,1666474,7835,14300338505094,4670,1113319,7835,1,57791029,174961913,6,63,12340007,14847977,1216575,18512936379022
8,1666506,7835,14308563384667,4670,1113372,7835,1,58111781,174996501,6,63,12341916,14850283,1210925,18517327963186
9,1666399,7835,14297849664955,4670,1094139,7835,1,57633431,174962982,6,63,12339386,14847211,1231032,18511697853158
10,1692030,7835,16054046506402,3114,585541,7835,1,129938842,181203845,4,63,12749927,15338900,1257702,19442595763593
