n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/activities/prefixes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/current-prefixes,v_/ports#link-tr-ssm-b-1-y/metrics/network-outgoing-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/as-path/total-entries,v_/ports#link-intgw-exgw-a-3-x/metrics/network-outgoing-bytes-rate,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/prefixes/total-entries,v_/devices#RR-01/power_state,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/diffserv-info/diffserv-target-classifier-stats/queuing-stats/drop-pkts,v_/ports#link-tr-intgw-a-3-x/metrics/network-incoming-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/explicit-withdraw,p_/computes0/metrics/compute-node/compute-node-cpu-idle-percent,v_/ports#TR-02/metrics/network-outgoing-packets,v_/ports#TR-01/metrics/network-outgoing-packets,v_/ports#link-intgw-exgw-b-1-x/metrics/network-outgoing-bytes-rate,v_/ports#link-tr-intgw-a-2-x/metrics/network-outgoing-bytes
1663761,7836,13781441140548.0,3114,1197857.171021220,7836,1,36485094,172993013.0,4,64.0,12219958.0,14703494.0,1241235.574223940,18239050035194.0
1663761,7836,13781718203750.0,3114,1197857.171021220,7836,1,36485094,172993795.0,4,64.0,12220032.0,14703578.0,1249803.2453251400,18239220825716.0
1663761,7836,13781997946656.0,3114,1211709.0322943800,7836,1,36485094,172994593.0,4,64.0,12220103.0,14703663.0,1254093.8104216100,18239392591330.0
1663761,7836,13782275632754.0,3114,1204602.4646396900,7836,1,36485094,172995277.0,4,63.0,12220179.0,14703755.0,1247099.6609926900,18239563239986.0
1663761,7836,13782553223286.0,3114,1197877.5294588100,7836,1,36485094,172995961.0,4,64.0,12220250.0,14703842.0,1239629.4095370500,18239734115062.0
1663761,7836,13784503451664.0,3114,1209960.7830290700,7836,1,36576461,173000391.0,4,63.0,12220698.0,14704380.0,1251568.3445638100,18240760802204.0
1663761,7836,13784782038426.0,3114,1202241.04272394,7836,1,36650862,173001075.0,4,64.0,12220769.0,14704467.0,1242155.0752458200,18240931432920.0
1663761,7836,13785060832500.0,3114,1205034.3467484200,7836,1,36725296,173001873.0,4,64.0,12220843.0,14704552.0,1246172.1096475900,18241102130502.0
1663761,7836,13785341342168.0,3114,1227106.779400130,7836,1,36774899,173002557.0,4,64.0,12220919.0,14704645.0,1250162.0544775800,18241273717202.0
1663761,7836,13785619959784.0,3114,1244304.4834678900,7836,1,36786050,173003241.0,4,64.0,12220991.0,14704732.0,1245098.658215200,18241444344342.0
