n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/activities/prefixes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/current-prefixes,v_/ports#link-tr-ssm-b-1-y/metrics/network-outgoing-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/as-path/total-entries,v_/ports#link-intgw-exgw-a-3-x/metrics/network-outgoing-bytes-rate,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/prefixes/total-entries,v_/devices#RR-01/power_state,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/diffserv-info/diffserv-target-classifier-stats/queuing-stats/drop-pkts,v_/ports#link-tr-intgw-a-3-x/metrics/network-incoming-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/explicit-withdraw
1663761,7836,13781441140548.0,3114,1197857.171021220,7836,1,36485094,172993013.0,4
1663761,7836,13781718203750.0,3114,1197857.171021220,7836,1,36485094,172993795.0,4
1663761,7836,13781997946656.0,3114,1211709.0322943800,7836,1,36485094,172994593.0,4
1663761,7836,13782275632754.0,3114,1204602.4646396900,7836,1,36485094,172995277.0,4
1663761,7836,13782553223286.0,3114,1197877.5294588100,7836,1,36485094,172995961.0,4
1663761,7836,13784503451664.0,3114,1209960.7830290700,7836,1,36576461,173000391.0,4
1663761,7836,13784782038426.0,3114,1202241.04272394,7836,1,36650862,173001075.0,4
1663761,7836,13785060832500.0,3114,1205034.3467484200,7836,1,36725296,173001873.0,4
1663761,7836,13785341342168.0,3114,1227106.779400130,7836,1,36774899,173002557.0,4
1663761,7836,13785619959784.0,3114,1244304.4834678900,7836,1,36786050,173003241.0,4
1663761,7836,13787571843296.0,3114,775876.2874057880,7836,1,36871390,173007789.0,4
1663761,7836,13787851664648.0,3114,775876.2874057880,7836,1,36945963,173008641.0,4
1663761,7836,13788130469366.0,3114,0.0,7836,1,36992302,173009443.0,4
1663761,7836,13788408585890.0,3114,0.0,7836,1,37003557,173010241.0,4
1663761,7836,13788690106654.0,3114,0.0,7836,1,37014705,173010925.0,4
1663761,7836,13790664503792.0,4671,1133759.3122965500,7836,1,37081363,173016313.0,5
1663761,7836,13791078704648.0,4671,649497.2158313340,7836,1,37081363,173017075.0,5
1663761,7836,13791491280488.0,4671,652984.270658416,7836,1,37081363,173017759.0,5
1663761,7836,13791904144582.0,4671,645370.8563962120,7836,1,37081363,173018557.0,5
